city,region,price_index_no_rent,price_index_with_rent,gross_salaries,net_salaries,work_hours_year,paid_vacations_year,gross_buying_power,net_buying_power,bread_kg_work_time,burger_work_time,food_expenses,shopping_basket,women_apparel,men_apparel,bed4_apt_furnished,bed3_apt_unfurnished,rent_cost,home_appliances,public_transportation,taxi,car,restaurant,hotel_night,various_services,tax_pct_gross_salary,net_hourly_salary,teacher,bus_driver,mechanic,construction_worker,metalworker,cook_chef,factory_manager,engineer,bank_clerk,executive_secretary,salesperson,textile_worker
Lagos,Africa,101.4,91.8,2.8,2.8,2069,18.4,2.8,2.8,108,683,736,1973,520,1220,1620,750,80,4250,0.46,11.55,25400,16,231,230,18.8,0.5,600,900,1400,700,1100,500,1500,1600,1200,1400,900,800
Lisbon,Southern Europe,51.4,55.9,23.1,23.1,1908,22,44.9,44.9,19,54,275,1001,240,420,1360,870,690,2020,0.55,3.76,20500,19,197,200,20.5,4,11300,6300,7300,6400,8600,9100,11000,15000,12500,7800,6300,5600
London,Northern Europe,69.6,74.1,47.9,41.7,1880,22.1,68.8,59.9,7,36,291,1354,340,570,1830,1410,810,2040,1.94,7.16,20100,23,375,300,31.3,7.1,19900,12700,14500,13400,17200,11600,25100,26800,14800,12600,8600,10000
LosAngeles,North America,68.2,75.4,68.8,68.8,1948,8.6,100.8,101,16,19,367,1328,360,920,2150,1700,830,1540,1.1,8,16500,49,210,320,20.8,11.9,27900,27600,25000,25700,31500,18200,31700,43600,22300,22100,10300,23800
Luxembourg,Central Europe,70.4,75.2,78.4,80.4,1780,30.6,111.2,114,8,20,340,1371,330,570,1580,720,1080,2520,1.01,8.92,14900,31,227,320,19.4,13.8,50800,41600,16400,15500,30600,21400,62500,55300,42300,27100,15500,18800
Madrid,Southern Europe,60.6,63.5,42,42.6,1721,32.1,69.3,70.3,13,31,304,1180,290,590,1300,980,470,2500,0.91,4.2,12700,22,225,250,18.1,7.5,16600,14600,12900,7900,13400,20100,18400,23800,19100,16000,10100,8200
Manama,Middle East,62,63.4,20.7,25.1,2136,29.5,33.5,40,9,62,359,1206,310,750,1450,960,500,1790,0.13,5.29,15700,18,229,230,5,4.3,14800,7600,5300,2600,10400,25600,60300,18000,20700,12400,6500,2100
Manila,South Asia and Australia,47.6,51,6.1,6.7,2217,15,12.7,14,49,126,283,926,150,320,1820,910,360,2100,0.11,0.91,18900,33,150,160,12,1.1,3300,1800,1800,1300,3200,5700,9700,6600,4100,2800,2100,1600
Mexico,North America,50.1,54.6,13.8,15.1,2094,15.9,27.5,30.1,27,90,253,976,240,740,2510,1220,340,1850,0.12,2.58,10900,27,192,220,11.9,2.6,5000,6800,8000,1600,7100,8500,11300,20100,4200,5400,5300,3000
Milan,Southern Europe,64.4,70.4,48.5,42.2,1785,24.8,75.3,65.6,23,36,354,1253,390,750,1470,1170,670,1890,0.74,8.89,15200,31,307,270,31.1,7.3,13000,16700,13100,9800,14500,17200,20400,23100,18500,12500,11800,11400
Montreal,North America,60.9,59.2,62.1,58.1,1896,15,101.9,95.3,12,21,291,1186,380,660,1050,440,360,2100,1.42,5.81,10800,27,163,250,25.4,10.1,21200,21500,21100,20400,21300,20700,35400,30200,22300,19200,13500,14300
Nairobi,Africa,31.3,30.2,2.1,2.3,1930,25.3,6.8,7.4,44,177,112,610,50,160,500,240,160,2350,0.11,3.05,12600,8,112,90,12.7,0.4,600,400,700,200,800,2700,1500,2400,1400,1600,400,300
NewYork,North America,83.2,93.8,73.6,74.5,1940,11,88.5,89.5,14,23,408,1620,550,1150,4200,1680,930,1700,1.25,6.35,10000,44,219,380,20.2,12.8,29000,26200,24500,25700,31100,30600,62100,43800,24700,21100,20300,17800
Nicosia,Southern Europe,49.9,48.5,27.4,27.4,1837,18.5,54.8,54.9,12,51,239,972,280,460,600,310,360,3020,0.64,3.37,16700,14,202,180,20.3,4.8,16200,8700,8100,7400,9900,10000,16200,15800,13200,8100,5500,6100
Oslo,Northern Europe,101.3,95.8,68.8,60,1728,23.2,67.9,59.2,11,35,517,1971,580,1090,820,550,520,2820,2.19,9.59,25800,36,219,410,31.4,10.3,19100,16800,16700,16800,23400,16200,36000,27600,19400,18900,15100,15400
Panama,South America,54.2,60.8,16.6,18,2040,33,30.6,33.3,18,53,270,1054,480,730,2500,1500,500,2320,0.3,1.25,15900,20,160,200,12.8,3.1,5300,8200,5300,4200,4900,13500,19000,15800,20400,9300,3700,4200
Paris,Central Europe,84.8,87,51.9,49.6,1790,27.9,61.2,58.6,19,38,471,1650,550,1020,2170,1040,750,2660,1.13,9.55,18400,22,318,320,24.6,8.5,16200,19400,13100,9300,14900,23000,55800,41100,32100,16300,11900,12900
