KIDEN	Année	Region du monde	I_prix sans loyer	I_prix avec loyer	I_salaires bruts	I_salaires nets	Heures travail annuelles	Vacances annuelles payees	Pouvoir d'achat brut	Pouvoir d'achat net	Kg pain=temps de travail	Hamb=temps de travail	Denrées alimentaires	Panier complet	Dames vetements	Hommes vetements	4pièces appart meublé	3pièces appart non meublé	Loyer normale	Appareils ménagers	Bus tram ou metro	Taxi	Voitures	Restaurant	Nuit d'hôtel	Services diverses	Impots et cotisations sociales en % salaire brut	Salaire horaire net	Instituteur	Chauffeur d'autobus	Mécanicien autos	Manoeuvre du bâtiment	Tourneur	Cuisinier chef	Chef de service	Ingeniéur	Caissier de banque	Secrétaire direction	Vendeuse	Ouvrière du textile	revenu annuel net moyen	Axe factoriel revenus 1	Axe factoriel revenus 2	Axe factoriel revenus 3	Axe factoriel revenus 4	Axe factoriel revenus 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy	Inegalité des salaires	Manuels qualifiées	Femenins non qualifiées	Axe factoriel rapports 1	Axe factoriel rapports 2	Axe factoriel rapports 3	Axe factoriel rapports 4	Axe factoriel rapports 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy
Chicago94	edition 1994	NORD AMERIQUE	75.70	81.20	75.60	75.50	1933.00	10.80	99.80	99.70	12.00	14.00	351.00	1474.00	660.00	1390.00	2450.00	900.00	900.00	1390.00	1.50	5.00	19300.00	49.00	218.00	370.00	21.10	13.00	36900.00	31600.00	29500.00	28000.00	37100.00	25300.00	55900.00	34600.00	23000.00	22500.00	13100.00	14100.00	25129.00	-4.42	-1.25	0.41	0.61	1.08	1.47	1.26	1.17	1.11	1.48	1.01	2.22	1.38	0.92	0.90	0.52	0.56	1.70	1.33	0.54	-2.61	0.86	-1.63	-1.08	0.02	1.4684     1.49	1.2575     1.27	1.1512     1.17	1.1087     1.12	1.4764     1.57	0.9888     1.02	2.1140     2.24	1.3769     1.42	0.9153     0.97	0.8915     0.92	0.5198     0.54	0.5577     0.56
Copenhague91	Edition 1991	NORD EUROPE	91.30	89.60	83.30	62.90	1717.00	25.00	91.20	68.90	4.00	39.00	402.00	1594.00	529.00	857.00	1025.00	596.00	540.00	2479.00	2.47	9.71	24786.00	23.00	242.00	335.00	40.00	10.05	17551.00	16613.00	18623.00	16948.00	19628.00	19962.00	28336.00	30011.00	18891.00	17551.00	13532.00	15943.00	17253.00	-1.53	-0.77	0.45	-0.52	-0.37	1.02	0.96	1.08	0.98	1.14	1.16	1.64	1.74	1.09	1.02	0.78	0.92	0.96	1.11	0.85	-1.61	0.34	1.01	0.58	-0.61	1.0173     1.06	0.9515     0.97	1.0686     1.08	0.9823     1.03	1.1354     1.15	1.1340     1.16	1.5982     1.64	1.7359     1.75	1.0949     1.11	1.0173     1.02	0.7843     0.79	0.8852     0.92
Copenhague94	edition 1994	NORD EUROPE	94.70	92.00	87.50	68.30	1669.00	25.00	92.40	72.10	8.00	26.00	379.00	1842.00	730.00	1020.00	900.00	640.00	620.00	3000.00	3.04	9.34	26200.00	28.00	241.00	450.00	38.50	11.70	20500.00	17100.00	23600.00	19000.00	22000.00	23100.00	30800.00	32700.00	22300.00	19900.00	15000.00	16700.00	19527.00	-2.37	-0.83	0.74	-0.42	-0.49	1.05	0.88	1.21	0.97	1.13	1.18	1.58	1.67	1.14	1.02	0.77	0.86	0.91	1.17	0.81	-1.53	0.85	1.07	0.23	-0.56	1.0173     1.06	0.8757     0.89	1.1965     1.29	0.9592     0.97	1.1123     1.13	1.1599     1.18	1.5623     1.58	1.6746     1.72	1.1420     1.18	1.0173     1.02	0.7619     0.77	0.8552     0.88
Dublin91	Edition 1991	NORD EUROPE	76.00	74.20	45.50	41.40	1759.00	22.90	59.90	54.50	12.00	29.00	316.00	1326.00	328.00	482.00	1072.00	918.00	340.00	2345.00	1.19	8.02	17082.00	36.00	178.00	261.00	27.30	6.63	17953.00	12192.00	10115.00	9244.00	14469.00	9512.00	26125.00	26259.00	16211.00	12661.00	10048.00	8441.00	11665.00	0.48	-0.13	-0.50	-0.22	-0.05	1.54	1.05	0.87	0.79	1.24	0.82	2.24	2.25	1.39	1.09	0.86	0.72	1.53	1.05	0.79	-0.73	-0.84	-0.01	0.64	0.41	1.5007     1.59	1.0452     1.06	0.8655     0.87	0.7925     0.81	1.2269     1.24	0.7851     0.82	2.1140     2.24	2.2511     2.35	1.3886     1.39	1.0769     1.11	0.8610     0.88	0.7236     0.74
Dublin94	edition 1994	NORD EUROPE	63.40	62.60	43.00	40.80	1727.00	23.40	67.90	64.40	11.00	31.00	313.00	1233.00	230.00	570.00	580.00	470.00	430.00	1660.00	1.37	6.13	23600.00	29.00	213.00	270.00	25.00	7.10	19800.00	13600.00	10300.00	10100.00	13900.00	9200.00	25800.00	27100.00	17100.00	13600.00	10400.00	9100.00	12262.00	0.27	-0.19	-0.63	-0.22	-0.10	1.61	1.11	0.84	0.82	1.13	0.75	2.10	2.21	1.39	1.11	0.85	0.74	1.47	0.99	0.80	-0.85	-1.22	0.21	0.45	0.22	1.6113     1.62	1.0918     1.11	0.8400     0.86	0.8237     0.84	1.1268     1.13	0.4831     0.75	2.0795     2.10	2.2101     2.24	1.3945     1.41	1.1070     1.12	0.8305     0.86	0.7236     0.74
Dusseldorf91	Edition 1991	CENTRAL EUROPE	78.50	81.50	69.40	60.20	1693.00	29.60	88.50	76.70	12.00	22.00	320.00	1370.00	496.00	750.00	1588.00	971.00	780.00	2117.00	1.49	6.87	13867.00	21.00	198.00	281.00	31.10	9.65	26527.00	19427.00	14135.00	15005.00	19962.00	20297.00	45284.00	43408.00	20967.00	19025.00	9378.00	10986.00	16331.00	-1.76	0.37	-0.16	-0.55	0.71	1.62	1.19	0.87	0.92	1.22	1.24	2.77	2.66	1.28	1.16	0.57	0.67	2.20	1.04	0.62	-0.53	-0.70	-1.31	-0.25	-0.56	1.6113     1.62	1.1896     1.21	0.8655     0.87	0.8898     0.94	1.2158     1.22	1.2076     1.24	2.6936     2.82	2.5930     2.70	1.2647     1.31	1.1536     1.18	0.5542     0.59	0.6699     0.67
Dusseldorf94	edition 1994	CENTRAL EUROPE	77.10	79.40	77.90	66.70	1682.00	30.50	101.10	86.60	13.00	23.00	352.00	1500.00	560.00	780.00	1440.00	1130.00	840.00	2190.00	1.63	9.21	22900.00	25.00	250.00	320.00	33.60	11.30	32900.00	24000.00	16600.00	15800.00	20700.00	18100.00	57800.00	34800.00	26800.00	21200.00	14400.00	15000.00	19007.00	-2.72	0.24	-0.64	0.08	0.21	1.73	1.26	0.87	0.83	1.09	0.95	3.04	1.83	1.41	1.12	0.76	0.79	2.28	0.98	0.77	-0.99	-1.60	-0.20	-0.18	0.08	1.6486     1.73	1.2575     1.27	0.8655     0.87	0.8237     0.84	1.0820     1.09	0.9480     0.96	3.0410     3.13	1.7918     1.84	1.3945     1.41	1.1070     1.12	0.7536     0.76	0.7877     0.80
Frankfurt91	Edition 1991	CENTRAL EUROPE	74.50	79.80	72.20	60.40	1650.00	30.10	97.00	81.20	13.00	22.00	316.00	1300.00	335.00	790.00	1487.00	744.00	990.00	2057.00	1.37	5.73	16010.00	18.00	283.00	295.00	33.60	9.65	25857.00	17886.00	12795.00	13867.00	20766.00	12527.00	58213.00	30011.00	19962.00	18087.00	10249.00	12326.00	15916.00	-1.34	0.20	-0.76	-0.07	0.51	1.62	1.12	0.80	0.87	1.30	0.79	3.66	1.89	1.25	1.14	0.64	0.77	3.01	1.05	0.71	-0.98	-1.03	-1.25	0.18	-0.08	1.6113     1.62	1.1238     1.14	0.7692     0.82	0.8427     0.87	1.2886     1.31	0.7851     0.82	3.6575     4.38	1.8856     1.95	1.2112     1.25	1.1265     1.15	0.6237     0.64	0.7653     0.78
Frankfurt94	edition 1994	CENTRAL EUROPE	78.60	79.80	79.10	66.40	1725.00	31.20	100.70	84.40	13.00	23.00	391.00	1529.00	350.00	570.00	2080.00	950.00	590.00	1990.00	1.48	10.39	21700.00	25.00	261.00	350.00	34.60	11.30	34600.00	20400.00	17900.00	15300.00	23700.00	23200.00	52400.00	41900.00	34600.00	19800.00	14300.00	13900.00	19493.00	-3.05	0.63	-0.25	-0.01	0.15	1.77	1.05	0.92	0.78	1.22	1.19	2.69	2.15	1.77	1.02	0.73	0.71	1.98	1.07	0.72	-0.51	-1.07	-0.63	-0.35	0.04	1.7520     1.78	1.0452     1.06	0.9067     0.92	0.7819     0.79	1.2158     1.22	1.1846     1.19	2.5447     2.69	2.1495     2.20	1.7750     1.81	1.0110     1.02	0.7336     0.75	0.7131     0.72
Geneve91	Edition 1991	CENTRAL EUROPE	95.90	94.00	93.30	90.30	1880.00	22.70	97.20	94.20	10.00	21.00	502.00	1675.00	395.00	703.00	1943.00	1065.00	560.00	2927.00	1.21	11.05	13800.00	27.00	248.00	348.00	22.50	14.47	43274.00	39523.00	26460.00	20632.00	31551.00	32154.00	43475.00	46222.00	35705.00	27063.00	18556.00	16144.00	27203.00	-5.36	-0.31	0.04	0.39	0.35	1.59	1.45	0.97	0.76	1.16	1.18	1.60	1.70	1.31	0.99	0.68	0.59	1.11	1.07	0.64	-1.45	-0.71	-0.61	-0.84	0.19	1.5007     1.59	1.4220     1.51	0.9535     0.97	0.7378     0.78	1.1458     1.17	1.1599     1.18	1.5982     1.64	1.6746     1.72	1.2647     1.31	0.9716     1.00	0.6821     0.70	0.5935     0.61
Geneve94	edition 1994	CENTRAL EUROPE	95.80	94.90	96.50	89.90	1883.00	24.00	100.70	93.80	13.00	23.00	558.00	1865.00	440.00	690.00	1520.00	1300.00	770.00	2700.00	1.40	11.90	16800.00	30.00	312.00	390.00	26.60	15.50	49200.00	37200.00	29800.00	21300.00	34900.00	26200.00	61200.00	39600.00	46700.00	30500.00	22000.00	21800.00	29187.00	-6.36	-0.30	-0.75	0.76	-0.40	1.69	1.27	1.02	0.73	1.20	0.90	2.10	1.36	1.60	1.04	0.75	0.75	1.37	1.11	0.75	-1.51	-0.98	-0.19	-0.41	0.31	1.6486     1.73	1.2575     1.27	1.0123     1.02	0.7115     0.74	1.1957     1.21	0.8712     0.95	2.0795     2.10	1.3191     1.36	1.6000     1.68	1.0333     1.05	0.7536     0.76	0.7467     0.76
Helsinki91	Edition 1991	NORD EUROPE	113.60	108.30	75.50	66.60	1667.00	28.60	66.40	58.60	27.00	40.00	603.00	1984.00	610.00	1092.00	1199.00	918.00	680.00	2887.00	1.80	8.76	25456.00	29.00	234.00	409.00	29.40	10.65	21034.00	20297.00	19360.00	15608.00	20766.00	18824.00	32020.00	26192.00	18154.00	16881.00	13130.00	14335.00	17755.00	-1.52	-0.80	0.23	-0.05	-0.07	1.18	1.14	1.09	0.88	1.17	1.06	1.80	1.48	1.02	0.95	0.74	0.81	1.06	1.13	0.77	-1.87	0.20	0.36	0.05	-0.12	1.1618     1.20	1.1238     1.14	1.0834     1.09	0.8791     0.89	1.1458     1.17	1.0602     1.07	1.7956     1.84	1.4317     1.49	1.0225     1.05	0.9508     0.96	0.7336     0.75	0.8074     0.83
Helsinki94	edition 1994	NORD EUROPE	82.10	79.30	52.80	45.00	1726.00	28.10	64.30	54.80	26.00	47.00	406.00	1597.00	400.00	610.00	910.00	620.00	570.00	2460.00	1.65	7.56	20200.00	22.00	194.00	350.00	32.00	7.80	17100.00	13700.00	12600.00	12800.00	16100.00	13700.00	30900.00	20700.00	13900.00	13700.00	10700.00	11300.00	13463.00	-0.03	-0.51	-0.03	-0.05	-0.04	1.27	1.02	0.94	0.95	1.20	1.02	2.30	1.54	1.03	1.02	0.79	0.84	1.50	1.07	0.82	-1.55	-0.26	0.37	0.45	-0.27	1.2619     1.27	1.0162     1.04	0.9318     0.94	0.9425     0.96	1.1957     1.21	0.9888     1.02	2.2404     2.30	1.4946     1.54	1.0225     1.05	1.0173     1.02	0.7843     0.79	0.8393     0.85
Hongkong91	Edition 1991	EST ASIE	63.80	98.70	23.70	27.80	2375.00	10.90	37.10	43.60	14.00	24.00	299.00	1113.00	368.00	1025.00	6337.00	5808.00	1350.00	1621.00	0.78	3.17	21704.00	21.00	230.00	228.00	5.80	4.42	18690.00	9177.00	9847.00	6632.00		13331.00	25589.00	16747.00	11924.00	11053.00	8641.00	6632.00	10500.00	1.01	-0.14	-0.05	0.32	0.22	1.78	0.87	0.94	0.63		1.27	2.44	1.59	1.14	1.05	0.82	0.63	1.81		0.73	-0.48	-0.45	-0.19	0.05	0.01	1.7520     1.78	0.8415     0.87	0.9318     0.94	0.6120     0.64		1.2568     1.27	2.3037     2.44	1.5949     1.66	1.1088     1.14	1.0333     1.05	0.8219     0.83	0.6179     0.63
Hongkong94	edition 1994	EST ASIE	68.40	97.50	23.70	25.60	2222.00	12.10	34.70	37.50	18.00	28.00	307.00	1330.00	460.00	850.00	8390.00	4260.00	1140.00	1850.00	1.29	3.55	19400.00	52.00	232.00	300.00	15.00	4.40	16500.00	12200.00	1400.00	1300.00	13500.00	14300.00	28500.00	28500.00	10000.00	11400.00	8600.00	10700.00	9777.00	1.03	0.54	-0.57	-0.73	0.49	1.69	1.25	0.14	0.13	1.38	1.46	2.91	2.91	1.02	1.17	0.88	1.09	2.78	0.76	0.99	0.64	-3.40	-1.62	3.32	-0.28	1.6486     1.73	1.2224     1.25	0.1432     0.57	0.1330     0.26	1.3808     1.43	1.4138     1.46	2.8420     3.00	2.9150     3.15	1.0225     1.05	1.1536     1.18	0.8610     0.88	0.9312     1.09
Houston91	Edition 1991	NORD AMERIQUE	71.90	70.60	45.90	46.30	1978.00	9.00	63.80	64.30	10.00	27.00	386.00	1255.00	523.00	757.00	1199.00	549.00	400.00	1614.00	0.85	6.55	12996.00	26.00	145.00	261.00	20.30	7.44	14804.00	13130.00	13532.00	14335.00	15340.00	16613.00	21302.00	22700.00	8842.00	15005.00	9110.00	7905.00	14708.00	0.25	-0.71	0.48	-0.12	0.15	1.01	0.89	0.92	0.97	1.04	1.13	1.45	1.54	0.60	1.02	0.62	0.54	1.01	0.98	0.58	-1.22	1.16	0.17	-0.43	-1.02	0.9976     1.01	0.8927     0.95	0.9200     0.93	0.9592     0.97	1.0346     1.04	1.1226     1.13	1.4141     1.45	1.5434     1.58	0.6012     0.77	1.0202     1.03	0.5853     0.62	0.5253     0.55
Houston94	edition 1994	NORD AMERIQUE	67.50	65.80	61.90	65.00	1964.00	9.50	91.70	96.30	11.00	17.00	362.00	1314.00	370.00	840.00	1000.00	530.00	430.00	1370.00	0.85	6.00	9500.00	23.00	149.00	280.00	17.20	11.20	23800.00	26900.00	27700.00	19500.00	25200.00	31100.00	34300.00	38900.00	19000.00	20500.00	18900.00	14800.00	21997.00	-3.45	-0.78	1.37	-0.23	0.04	1.08	1.22	1.26	0.89	1.15	1.41	1.56	1.77	0.86	0.93	0.86	0.67	1.10	1.20	0.77	-1.59	0.80	0.87	-0.16	0.51	1.0715     1.08	1.2224     1.25	1.1965     1.29	0.8791     0.89	1.1354     1.15	1.4138     1.46	1.4493     1.56	1.7638     1.77	0.8218     0.90	0.9186     0.94	0.8569     0.86	0.6699     0.67
Jakarta91	Edition 1991	SUD ASIE ET AUSTRALI	43.60	63.80									214.00	761.00	134.00	328.00	3470.00	3095.00	940.00	1628.00	0.11	1.24	9847.00	14.00	188.00	121.00			804.00	1407.00	1139.00	603.00	402.00	7034.00	13666.00	4555.00	2747.00	2947.00	1072.00	402.00	3065.00	4.32	0.21	0.09	0.30	0.18	0.26	0.46	0.37	0.20	0.13	2.29	4.46	1.49	0.90	0.96	0.35	0.13	4.33	0.25	0.24	3.87	1.49	0.30	-2.69	-2.20	0.2623     0.47	0.3015     0.46	0.1432     0.57	0.1330     0.26	0.1312     0.75	2.2949     2.48	4.4587     5.22	1.4317     1.49	0.8218     0.90	0.9508     0.96	0.3498     0.46	0.1312     0.36
Jakarta94	edition 1994	SUD ASIE ET AUSTRALI	53.20	70.60	8.10	9.60	1807.00	13.30	15.30	18.10	27.00	97.00	235.00	1035.00	690.00	610.00	3760.00	3360.00	980.00	2630.00	0.27	1.42	30400.00	22.00	245.00	190.00	2.60	1.80	1200.00	2200.00	4200.00	1800.00	4800.00	3500.00	10600.00	6400.00	3600.00	2900.00	1500.00	700.00	3253.00	4.08	-0.20	-0.11	0.21	0.14	0.37	0.68	1.29	0.55	1.48	1.08	3.26	1.97	1.11	0.89	0.46	0.22	3.04	1.38	0.34	0.32	4.12	-1.69	-0.94	0.85	0.2623     0.47	0.4712     0.68	1.1965     1.29	0.5025     0.61	1.4383     1.48	1.0759     1.11	3.2585     3.41	1.9597     1.98	1.0949     1.11	0.8915     0.92	0.3498     0.46	0.1312     0.36
Johannesburg91	Edition 1991	AFRIQUE	51.10	52.20	25.00	24.00	1945.00	19.40	48.90	47.00	7.00	35.00	205.00	892.00	208.00	569.00	589.00	442.00	440.00	2767.00	1.00	5.01	12527.00	17.00	129.00	161.00	19.10	3.82	9579.00	7034.00	9847.00	3081.00	12527.00	8842.00	17417.00	16479.00	7168.00	9110.00	6364.00	2680.00	7427.00	2.19	-0.17	0.01	0.10	0.21	1.29	0.95	1.33	0.41	1.69	1.19	2.35	2.22	0.97	1.23	0.86	0.36	1.98	1.51	0.61	-0.03	2.15	-1.26	0.79	1.72	1.2860     1.29	0.8927     0.95	1.3258     1.34	0.4148     0.45	1.6435     1.88	1.1846     1.19	2.3037     2.44	2.2101     2.24	0.9153     0.97	1.2195     1.23	0.8569     0.86	0.3608     0.40
Johannesburg94	edition 1994	AFRIQUE	47.80	46.10	23.50	21.60	1999.00	17.20	49.10	45.20	10.00	45.00	217.00	930.00	230.00	480.00	580.00	250.00	170.00	1990.00	0.85	4.46	15000.00	11.00	235.00	180.00	24.80	3.80	9400.00	5800.00	10200.00	3300.00	10900.00	7300.00	21400.00	20500.00	9200.00	7700.00	6700.00	4700.00	7596.00	2.08	-0.02	-0.12	-0.20	0.12	1.24	0.76	1.34	0.43	1.43	0.96	2.82	2.70	1.21	1.01	0.88	0.62	2.38	1.39	0.75	0.07	1.51	-0.29	1.06	1.58	1.2201     1.24	0.7467     0.76	1.3258     1.34	0.4148     0.45	1.3808     1.43	0.9480     0.96	2.6936     2.82	2.5930     2.70	1.2112     1.25	1.0110     1.02	0.8820     0.90	0.6179     0.63
KualaLumpur91	Edition 1991	SUD ASIE ET AUSTRALI	43.50	43.30	9.00	9.90	2167.00	17.60	10.60	22.70	40.00	57.00	239.00	760.00	100.00	288.00	965.00	509.00	170.00	1588.00	0.23	0.90	10115.00	9.00	127.00	107.00	10.70	1.61	3952.00	3885.00	3148.00	2479.00	3952.00	5091.00	17015.00	9914.00	3550.00	4019.00	1608.00	1943.00	3484.00	3.70	0.02	-0.19	0.09	0.33	1.13	1.12	0.90	0.71	1.13	1.46	4.88	2.85	1.02	1.15	0.46	0.56	4.42	1.02	0.51	0.82	0.39	-1.82	-0.60	-0.14	1.1221     1.16	1.1151     1.12	0.8876     0.90	0.7115     0.74	1.1268     1.13	1.4138     1.46	4.4587     5.22	2.7013     2.85	1.0113     1.02	1.1536     1.18	0.4615     0.52	0.5577     0.56
KualaLumpur94	edition 1994	SUD ASIE ET AUSTRALI	53.50	59.90									333.00	1042.00	180.00	300.00	2970.00	1670.00	330.00	2140.00	0.22	1.11	15800.00	15.00	130.00	170.00																0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Lagos91	Edition 1991	AFRIQUE	45.20	49.30	2.30	2.70	1786.00	22.80	5.10	6.00	216.00	130.00	305.00	788.00	161.00	188.00	1876.00	1172.00	280.00	2412.00	0.70	4.69	14536.00	18.00	85.00	107.00	8.40	0.40	670.00	536.00	335.00	335.00	536.00	603.00	3282.00	1608.00	1340.00	2412.00		402.00	717.80	4.40	-0.27	-0.19	0.26	-0.69	0.93	0.75	0.47	0.47	0.75	0.84	4.57	2.24	1.87	3.36		0.56	4.11	0.61		5.08	-0.52	1.38	1.88	-2.45	0.9184     0.93	0.7467     0.76	0.1432     0.57	0.4634     0.48	0.1312     0.75	0.8205     0.87	4.4587     5.22	2.2101     2.24	1.8668     2.01	2.0725     3.36		0.5577     0.56
Lagos94	edition 1994	AFRIQUE	101.40	91.80	2.80	2.80	2069.00	18.40	2.80	2.80	108.00	683.00	736.00	1973.00	520.00	1220.00	1620.00	750.00	80.00	4250.00	0.46	11.55	25400.00	16.00	231.00	230.00	18.80	0.50	600.00	900.00	1400.00	700.00	1100.00	500.00	1500.00	1600.00	1200.00	1400.00	900.00	800.00	1035.00	4.81	-0.43	-0.34	0.25	-0.04	0.58	0.87	1.35	0.68	1.06	0.48	1.45	1.55	1.16	1.35	0.87	0.77	1.06	1.21	0.82	-0.84	1.86	2.06	0.95	0.32	0.5128     0.58	0.8415     0.87	1.3527     1.47	0.6763     0.70	1.0628     1.08	0.4831     0.75	1.4493     1.56	1.5434     1.58	1.1420     1.18	1.3500     1.38	0.8610     0.88	0.7653     0.78
Lisboa91	Edition 1991	SUD EUROPE	56.20	58.40	17.90	18.80	1742.00	22.00	31.90	33.60	23.00		232.00	980.00	415.00	831.00	1313.00	523.00		1929.00	0.98	5.90	10182.00	13.00	131.00	181.00	14.40	3.01	8106.00	6699.00	4354.00	3416.00	5962.00	9311.00	10048.00	13532.00	5627.00	5426.00	3617.00	3483.00	5251.00	3.01	-0.14	-0.05	0.04	0.26	1.54	1.28	0.83	0.65	1.14	1.77	1.91	2.58	1.07	1.03	0.69	0.66	1.93	0.98	0.68	-0.28	-0.79	-0.83	0.00	-0.42	1.5007     1.59	1.2751     1.29	0.8224     0.84	0.6415     0.68	1.1354     1.15	1.6960     1.77	1.9101     1.94	2.4388     2.58	1.0716     1.09	1.0333     1.05	0.6821     0.70	0.6574     0.66
Lisboa94	edition 1994	SUD EUROPE	51.40	55.90	23.10	23.10	1908.00	22.00	44.90	44.90	19.00	54.00	275.00	1001.00	240.00	420.00	1360.00	870.00	690.00	2020.00	0.55	3.76	20500.00	19.00	197.00	200.00	20.50	4.00	11300.00	6300.00	7300.00	6400.00	8600.00	9100.00	11000.00	15000.00	12500.00	7800.00	6300.00	5600.00	7632.00	2.17	-0.28	-0.14	0.09	-0.21	1.48	0.83	0.96	0.84	1.13	1.19	1.44	1.97	1.64	1.02	0.83	0.73	1.23	1.04	0.78	-0.65	-0.31	0.61	0.07	-0.41	1.4684     1.49	0.8255     0.84	0.9535     0.97	0.8237     0.84	1.1268     1.13	1.1846     1.19	1.4141     1.45	1.9597     1.98	1.6000     1.68	1.0202     1.03	0.8219     0.83	0.7236     0.74
London91	Edition 1991	NORD EUROPE	84.20	93.60	45.50	46.20	1737.00	24.50	54.10	54.90	11.00	36.00	301.00	1470.00	656.00	717.00	2023.00	1681.00	1350.00	1762.00	1.86	7.58	17484.00	28.00	365.00	315.00	18.70	7.37	21101.00	15139.00	13867.00	10852.00	15139.00	10383.00	26058.00	19360.00	15139.00	15608.00	8441.00	8441.00	12799.00	0.22	-0.56	-0.47	0.30	0.03	1.65	1.18	1.08	0.85	1.18	0.81	2.04	1.51	1.18	1.22	0.66	0.66	1.38	1.13	0.66	-1.50	-0.20	-0.38	-0.40	-0.20	1.6486     1.73	1.1438     1.19	1.0834     1.09	0.8427     0.87	1.1810     1.19	0.7851     0.82	1.9935     2.04	1.4946     1.54	1.1420     1.18	1.2195     1.23	0.6595     0.68	0.6574     0.66
London94	edition 1994	NORD EUROPE	69.60	74.10	47.90	41.70	1880.00	22.10	68.80	59.90	7.00	36.00	291.00	1354.00	340.00	570.00	1830.00	1410.00	810.00	2040.00	1.94	7.16	20100.00	23.00	375.00	300.00	31.30	7.10	19900.00	12700.00	14500.00	13400.00	17200.00	11600.00	25100.00	26800.00	14800.00	12600.00	8600.00	10000.00	13348.00	0.02	-0.63	-0.19	-0.21	0.18	1.49	0.95	1.09	1.00	1.29	0.87	1.88	2.01	1.11	0.94	0.64	0.75	1.36	1.19	0.70	-1.81	0.28	-0.49	-0.01	-0.37	1.4684     1.49	0.9515     0.97	1.0834     1.09	0.9823     1.03	1.2886     1.31	0.8205     0.87	1.8486     1.91	1.9807     2.12	1.1088     1.14	0.9429     0.95	0.6237     0.64	0.7467     0.76
LosAngeles91	Edition 1991	NORD AMERIQUE	79.80	91.50	70.70	65.20	2068.00	10.00	88.60	81.60	15.00	20.00	389.00	1393.00	469.00	871.00	2499.00	1702.00	1200.00	1735.00	1.10	8.35	16747.00	25.00	235.00	295.00	25.40	10.45	29475.00	24719.00	20364.00	23714.00	31083.00	21369.00	33762.00	35638.00	16814.00	20230.00	17551.00	13666.00	21611.00	-3.03	-1.26	0.32	-0.18	0.32	1.36	1.14	0.94	1.10	1.44	0.99	1.56	1.65	0.78	0.94	0.81	0.63	1.02	1.19	0.72	-2.21	0.20	-0.40	0.29	0.24	1.3639     1.38	1.1438     1.19	0.9383     0.95	1.0498     1.10	1.4383     1.48	0.9888     1.02	1.5623     1.58	1.5949     1.66	0.7774     0.82	0.9186     0.94	0.8121     0.82	0.6324     0.66
LosAngeles94	edition 1994	NORD AMERIQUE	68.20	75.40	68.80	68.80	1948.00	8.60	100.80	101.00	16.00	19.00	367.00	1328.00	360.00	920.00	2150.00	1700.00	830.00	1540.00	1.10	8.00	16500.00	49.00	210.00	320.00	20.80	11.90	27900.00	27600.00	25000.00	25700.00	31500.00	18200.00	31700.00	43600.00	22300.00	22100.00	10300.00	23800.00	23181.00	-3.64	-1.80	-0.34	-1.09	0.33	1.20	1.19	1.08	1.11	1.36	0.79	1.37	1.88	0.96	0.95	0.44	1.03	1.44	1.22	0.74	-3.01	0.24	-0.90	0.41	-1.31	1.1618     1.20	1.1896     1.21	1.0686     1.08	1.1087     1.12	1.3520     1.38	0.7851     0.82	0.9188     1.37	1.8450     1.88	0.9153     0.97	0.9508     0.96	0.3498     0.46	0.9312     1.09
Luxembourg91	Edition 1991	CENTRAL EUROPE	71.10	75.70	69.00	71.10	1768.00	29.50	97.00	100.00	9.00	20.00	322.00	1241.00	288.00	496.00	1393.00	723.00	980.00	2304.00	0.84	9.48	11187.00	19.00	182.00	221.00	18.30	11.39	36174.00	33427.00	15139.00	13599.00	25656.00	23111.00	52184.00	49102.00	31886.00	18958.00	14135.00	14536.00	20134.00	-3.43	0.62	-0.76	-0.24	0.82	1.80	1.66	0.75	0.68	1.27	1.15	2.59	2.44	1.58	0.94	0.70	0.72	1.92	1.01	0.71	-1.05	-2.21	-1.52	-0.25	0.71	1.7967     2.07	1.5895     1.69	0.6898     0.75	0.6415     0.68	1.2660     1.28	1.1340     1.16	2.5447     2.69	2.4388     2.58	1.5011     1.58	0.9371     0.94	0.6988     0.70	0.7189     0.72
Luxembourg94	edition 1994	CENTRAL EUROPE	70.40	75.20	78.40	80.40	1780.00	30.60	111.20	114.00	8.00	20.00	340.00	1371.00	330.00	570.00	1580.00	720.00	1080.00	2520.00	1.01	8.92	14900.00	31.00	227.00	320.00	19.40	13.80	50800.00	41600.00	16400.00	15500.00	30600.00	21400.00	62500.00	55300.00	42300.00	27100.00	15500.00	18800.00	24564.00	-5.24	0.69	-1.91	-0.09	0.78	2.07	1.69	0.67	0.63	1.25	0.87	2.54	2.25	1.72	1.10	0.63	0.77	1.91	0.96	0.70	-1.12	-2.89	-1.83	-0.24	0.29	1.7967     2.07	1.5895     1.69	0.5770     0.68	0.6120     0.64	1.2457     1.25	0.8712     0.95	2.4848     2.54	2.2511     2.35	1.7220     1.77	1.0769     1.11	0.6237     0.64	0.7653     0.78
