KIDEN	Année	Region du monde	I_prix sans loyer	I_prix avec loyer	I_salaires bruts	I_salaires nets	Heures travail annuelles	Vacances annuelles payees	Pouvoir d'achat brut	Pouvoir d'achat net	Kg pain=temps de travail	Hamb=temps de travail	Denrées alimentaires	Panier complet	Dames vetements	Hommes vetements	4pièces appart meublé	3pièces appart non meublé	Loyer normale	Appareils ménagers	Bus tram ou metro	Taxi	Voitures	Restaurant	Nuit d'hôtel	Services diverses	Impots et cotisations sociales en % salaire brut	Salaire horaire net	Instituteur	Chauffeur d'autobus	Mécanicien autos	Manoeuvre du bâtiment	Tourneur	Cuisinier chef	Chef de service	Ingeniéur	Caissier de banque	Secrétaire direction	Vendeuse	Ouvrière du textile	revenu annuel net moyen	Axe factoriel revenus 1	Axe factoriel revenus 2	Axe factoriel revenus 3	Axe factoriel revenus 4	Axe factoriel revenus 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy	Inegalité des salaires	Manuels qualifiées	Femenins non qualifiées	Axe factoriel rapports 1	Axe factoriel rapports 2	Axe factoriel rapports 3	Axe factoriel rapports 4	Axe factoriel rapports 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy
Bombay91	Edition 1991	SUD ASIE ET AUSTRALI	30.30	39.90	6.00	5.30	2052.00	30.60	19.90	17.60	27.00	131.00	116.00	529.00	54.00	248.00	2800.00	1869.00	190.00	1789.00	0.09	1.17	9110.00	11.00	158.00	74.00	21.10	0.87	1005.00	1340.00	1809.00	737.00	2479.00	2412.00	3751.00	2880.00	2345.00	1809.00	1072.00	1206.00	1787.00	4.55	-0.33	-0.24	0.24	0.02	0.56	0.75	1.01	0.41	1.39	1.35	2.10	1.61	1.31	1.01	0.60	0.67	1.69	1.20	0.64	-0.02	2.06	-0.68	0.57	-0.32	0.5128     0.58	0.7467     0.76	1.0123     1.02	0.3741     0.41	1.3808     1.43	1.2808     1.35	2.0795     2.10	1.5949     1.66	1.2647     1.31	1.0110     1.02	0.5853     0.62	0.6699     0.67
Bombay94	edition 1994	SUD ASIE ET AUSTRALI	30.40	38.80	3.90	4.70	1990.00	39.30	12.70	15.50	29.00	92.00	113.00	591.00	120.00	180.00	2460.00	1830.00	300.00	2070.00	0.10	0.45	7000.00	12.00	169.00	100.00	1.60	0.80	1600.00	1700.00	1300.00	800.00	1400.00	2700.00	4300.00	2100.00	1800.00	2200.00	1100.00	1300.00	1592.00	4.56	-0.31	-0.26	0.28	0.02	1.01	1.07	0.82	0.50	0.88	1.70	2.70	1.32	1.13	1.38	0.69	0.82	2.20	0.85	0.75	0.39	-0.27	0.63	0.22	-1.26	0.9976     1.01	1.0658     1.09	0.7692     0.82	0.5025     0.61	0.7748     0.91	1.6960     1.77	2.6936     2.82	1.3191     1.36	1.1088     1.14	1.3819     1.51	0.6821     0.70	0.8074     0.83
Bruxelles91	Edition 1991	CENTRAL EUROPE	73.80	72.20	68.20	50.50	1708.00	24.60	92.40	68.40	12.00	31.00	316.00	1288.00	375.00	837.00	1239.00	489.00	460.00	2445.00	1.11	8.35	12929.00	20.00	236.00	255.00	40.60	8.11	14001.00	14068.00	10450.00	12192.00	17350.00	19159.00	31016.00	24518.00	19293.00	13800.00	10718.00	10182.00	13844.00	-0.23	0.02	0.31	-0.13	-0.09	1.01	1.02	0.75	0.88	1.25	1.38	2.24	1.77	1.39	1.00	0.77	0.74	1.50	1.00	0.75	-0.64	-0.14	-0.02	0.25	-0.35	0.9976     1.01	1.0162     1.04	0.6898     0.75	0.8791     0.89	1.2457     1.25	1.3839     1.41	2.2404     2.30	1.7638     1.77	1.3886     1.39	0.9716     1.00	0.7742     0.78	0.7236     0.74
Bruxelles94	edition 1994	CENTRAL EUROPE	71.80	72.00	61.40	49.50	1725.00	24.50	85.50	68.90	12.00	36.00	324.00	1398.00	390.00	890.00	1260.00	640.00	630.00	2830.00	1.44	8.22	18900.00	28.00	314.00	320.00	36.10	8.60	16000.00	14900.00	12200.00	13200.00	18100.00	19000.00	30300.00	24600.00	20600.00	14900.00	12100.00	11800.00	14835.00	-0.61	-0.17	0.25	-0.12	-0.26	1.08	1.00	0.82	0.89	1.22	1.28	2.04	1.66	1.39	1.00	0.82	0.80	1.25	1.02	0.81	-0.92	-0.25	0.38	0.38	-0.32	1.0715     1.08	0.9866     1.02	0.8224     0.84	0.8898     0.94	1.2158     1.22	1.2808     1.35	2.0425     2.08	1.5949     1.66	1.3886     1.39	1.0026     1.01	0.8121     0.82	0.7877     0.80
Budapest91	Edition 1991	EUROPE ORIENTAL																																								0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Budapest94	edition 1994	EUROPE ORIENTAL	52.80	43.40	7.70	6.80	1980.00	22.10	17.90	15.80	29.00	128.00	181.00	842.00	230.00	330.00	530.00	450.00	310.00	1990.00	0.24	3.19	15100.00	10.00	148.00	120.00	28.60	1.20	2100.00	3000.00	2200.00	1900.00	2600.00	4300.00	6400.00	4200.00	4200.00	2400.00	1800.00	1700.00	2376.00	4.19	-0.24	-0.16	0.28	0.01	0.88	1.26	0.93	0.80	1.09	1.81	2.69	1.77	1.77	1.01	0.76	0.72	1.98	1.01	0.74	-0.15	-0.17	0.35	-0.72	-0.03	0.8479     0.91	1.2575     1.27	0.9200     0.93	0.7925     0.81	1.0820     1.09	1.8098     1.92	2.6936     2.82	1.7638     1.77	1.7220     1.77	1.0026     1.01	0.7536     0.76	0.7131     0.72
BuenosAires91	Edition 1991	SUD AMERIQUE	56.10	55.90	12.20	12.50	1971.00	16.20	21.70	22.20	26.00	105.00	192.00	980.00	315.00	616.00	1360.00	824.00	230.00	2673.00	0.24	3.44	21905.00	15.00	227.00	208.00	16.50	2.01	1876.00	2747.00	3885.00	1742.00	4689.00	5895.00	36174.00	12192.00	6900.00	5962.00	2412.00	2278.00	3961.00	3.25	0.67	-0.15	0.03	0.32	0.47	0.69	0.98	0.44	1.18	1.49	9.13	3.08	1.74	1.51	0.61	0.58	8.69	1.08	0.59	3.95	1.32	-1.42	-0.02	1.21	0.2623     0.47	0.6798     0.74	0.9784     1.00	0.4148     0.45	1.1810     1.19	1.4883     1.56	6.5651     9.13	2.9150     3.15	1.7220     1.77	1.3819     1.51	0.5853     0.62	0.5650     0.58
BuenosAires94	edition 1994	SUD AMERIQUE	80.40	77.00	25.80	27.40	2066.00	13.20	32.10	34.00	30.00	66.00	370.00	1565.00	450.00	990.00	1020.00	720.00	420.00	4060.00	0.72	5.99	14900.00	37.00	342.00	400.00	16.80	4.70	4500.00	4500.00	8200.00	4500.00	6600.00	10900.00	30200.00	24000.00	33500.00	18500.00	10800.00	6000.00	9710.00	0.89	1.23	-0.31	-0.20	-1.59	0.46	0.46	0.84	0.46	0.68	1.12	3.11	2.47	3.45	1.91	1.11	0.62	2.99	0.76	0.87	4.21	0.04	3.56	0.32	0.07	0.2623     0.47	0.3015     0.46	0.8400     0.86	0.4634     0.48	0.1312     0.75	1.1226     1.13	3.0410     3.13	2.4388     2.58	3.2258     3.50	1.8325     2.01	1.0769     1.13	0.6179     0.63
Cairo91	Edition 1991	AFRIQUE	37.10	47.20									216.00	648.00	174.00	188.00	1380.00	924.00	920.00	1628.00		1.53	7704.00	21.00	131.00	121.00																0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Cairo94	edition 1994	AFRIQUE	48.70	59.50									281.00	948.00	270.00	410.00	1770.00	1180.00	1180.00	1930.00		1.48	15400.00	31.00	183.00	210.00																0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Caracas91	Edition 1991	SUD AMERIQUE	61.00	61.20	9.30	10.90	2041.00	21.10	15.20	17.80	75.00	103.00	293.00	1064.00	502.00	656.00	1373.00	978.00	260.00	2298.00	0.20	3.17	12594.00	17.00	157.00	248.00	7.90	1.74	2345.00	1072.00	4153.00	1072.00	4555.00	12929.00	11120.00	4957.00	2613.00	4890.00	2479.00	1407.00	3555.00	3.71	0.05	0.61	0.34	0.18	0.66	0.30	1.17	0.30	1.28	3.64	3.13	1.39	0.74	1.38	0.70	0.40	3.34	1.22	0.55	2.63	3.66	-0.38	-0.11	-1.60	0.6596     0.73	0.3015     0.46	1.1512     1.17	0.2939     0.36	1.2660     1.28	3.5392     3.64	3.0410     3.13	1.3769     1.42	0.6012     0.77	1.3500     1.38	0.6821     0.70	0.3608     0.40
Caracas94	edition 1994	SUD AMERIQUE	40.80	39.90	4.90	5.90	1910.00	15.90	12.10	14.30	117.00	243.00	220.00	795.00	250.00	430.00	850.00	410.00	210.00	1540.00	0.30	2.96	6100.00	11.00	148.00	140.00	4.70	1.00	2500.00	900.00	1300.00	900.00	1600.00	6100.00	4400.00	8100.00	2000.00	3500.00	2000.00	1000.00	1910.00	4.24	-0.06	-0.01	0.04	0.07	1.31	0.47	0.68	0.47	0.84	3.19	2.30	4.24	1.05	1.83	1.05	0.52	3.77	0.76	0.79	4.46	0.03	1.31	1.72	-1.68	1.3089     1.35	0.4712     0.68	0.5770     0.68	0.4634     0.48	0.7748     0.91	2.7871     3.50	2.3037     2.44	3.9393     4.37	1.0225     1.05	1.8325     2.01	0.9556     1.05	0.5055     0.52
Chicago91	Edition 1991	NORD AMERIQUE	73.90	78.20	71.40	61.90	1924.00	11.80	96.70	83.80	18.00	18.00	347.00	1290.00	784.00	1186.00	1775.00	797.00	880.00	1480.00	1.13	7.65	16278.00	36.00	241.00	255.00	31.10	9.91	24116.00	25523.00	21168.00	22374.00	26259.00	21436.00	31685.00	37781.00	15675.00	17953.00	10383.00	10986.00	19075.00	-2.20	-1.03	0.45	-0.25	0.79	1.26	1.34	1.11	1.17	1.38	1.12	1.66	1.98	0.82	0.94	0.54	0.58	1.44	1.24	0.56	-2.34	0.80	-1.17	-0.78	-0.22	1.2619     1.27	1.3278     1.40	1.0947     1.11	1.1730     1.32	1.3520     1.38	1.1226     1.13	1.6611     1.77	1.9807     2.12	0.8218     0.90	0.9371     0.94	0.5198     0.54	0.5650     0.58
