KIDEN,city,region,price_index_no_rent,price_index_with_rent,gross_salaries,net_salaries,work_hours_year,paid_vacations_year,gross_buying_power,net_buying_power,bread_kg_work_time,burger_work_time,food_expenses,shopping_basket,women_apparel,men_apparel,bed4_apt_furnished,bed3_apt_unfurnished,rent_cost,home_appliances,public_transportation,taxi,car,restaurant,hotel_night,various_services,tax_pct_gross_salary,net_hourly_salary,teacher,bus_driver,mechanic,construction_worker,metalworker,cook_chef,factory_manager,engineer,bank_clerk,executive_secretary,salesperson,textile_worker
London91,London,Northern Europe,84.2,93.6,45.5,46.2,1737,24.5,54.1,54.9,11,36,301,1470,656,717,2023,1681,1350,1762,1.86,7.58,17484,28,365,315,18.7,7.37,21101,15139,13867,10852,15139,10383,26058,19360,15139,15608,8441,8441
LosAngeles91,LosAngeles,North America,79.8,91.5,70.7,65.2,2068,10,88.6,81.6,15,20,389,1393,469,871,2499,1702,1200,1735,1.1,8.35,16747,25,235,295,25.4,10.45,29475,24719,20364,23714,31083,21369,33762,35638,16814,20230,17551,13666
Luxembourg91,Luxembourg,Central Europe,71.1,75.7,69,71.1,1768,29.5,97,100,9,20,322,1241,288,496,1393,723,980,2304,0.84,9.48,11187,19,182,221,18.3,11.39,36174,33427,15139,13599,25656,23111,52184,49102,31886,18958,14135,14536
Madrid91,Madrid,Southern Europe,93.8,100.7,49.8,50,1710,32,53.1,53.3,10,54,410,1638,502,1125,1842,1380,1010,3778,1.06,3.92,17886,74,323,335,18.3,7.97,17886,14202,14536,8708,14938,20498,20498,26527,21034,18355,11321,7637
Manila91,Manila,South Asia and Australia,40,43.4,3.7,4,2268,16.9,9.2,9.9,86,165,226,698,127,228,1742,583,300,1708,0.3,1.57,14737,15,196,94,13.7,0.6,1675,1139,1273,1005,1340,2947,3885,2947,2479,1675,1005,1273
Mexico91,Mexico,North America,49.8,53.3,4.7,5.7,1944,10.1,9.5,11.5,37,235,214,869,382,616,2907,362,180,1896,0.09,2.81,12661,31,148,161,4.7,0.94,2010,1943,1943,1273,1809,1943,1675,3483,2880,1675,1742,1273
Milan91,Milan,Southern Europe,82,86.8,56.2,53.3,1773,24.6,68.6,65,17,33,395,1431,476,837,1916,998,440,2646,0.77,9.59,13197,38,359,301,24.6,8.51,14737,20029,15139,10986,17283,20900,23044,28068,22642,14135,13331,12795
Montreal91,Montreal,North America,72.7,73.8,64.1,56.3,1827,17.2,88.1,77.4,10,21,316,1269,375,670,1246,623,710,2023,1.25,6.22,11455,28,180,248,29.8,8.98,21101,21838,18355,17216,22173,19427,26795,22240,13465,13532,11790,10986
Nairobi91,Nairobi,Africa,45,45.3,5.1,5.8,1958,28.5,11.4,12.8,31,82,143,786,80,295,817,610,290,2358,0.2,3.56,18958,9,108,121,10.4,0.94,1474,670,2010,469,1809,6498,3818,3885,3684,3684,871,737
NewYork91,NewYork,North America,83.3,103.9,68.2,65.8,1942,12.2,81.8,79,22,26,476,1454,415,851,4200,2097,1790,1628,1.15,7,14001,30,285,268,22.7,10.52,24920,26259,23513,22776,25857,23312,67122,35035,22307,20565,11656,11656
Nicosia91,Nicosia,Southern Europe,47.9,47.2,26.5,28.3,1825,20.3,55.3,59.2,8,40,214,836,208,402,630,268,380,2613,0.5,3.28,12527,13,163,141,13.7,4.56,12058,8441,8441,7101,9981,11790,15876,15541,12460,7838,5493,5024
Oslo91,Oslo,Northern Europe,115.5,111.6,80.9,63.7,1583,31.4,70.1,55.2,12,43,612,2016,589,831,1012,831,740,2686,1.88,7.45,22441,32,211,355,37.8,10.18,13666,14202,15340,15407,,,16412,16881,16345,15206,13867,14268
Panama91,Panama,South America,49.2,54.3,13.1,13.8,2078,28.6,26.7,28.1,50,66,241,859,214,355,1474,288,550,1400,0.2,1.12,13867,17,123,214,15.2,2.21,4287,7302,3818,2947,4890,9579,8775,9378,6498,6632,2546,3148
Paris91,Paris,Central Europe,81.6,82.4,48.1,45.9,1744,27,59,56.2,18,39,395,1425,630,804,1333,945,610,2512,0.82,6.33,15005,24,267,288,24.3,7.37,16278,14536,12929,10048,14603,13733,37245,28269,12996,14603,10584,9244
RiodeJaneiro91,RiodeJaneiro,South America,46.3,54.4,9.6,10.5,1749,26.5,20.9,22.7,30,79,175,807,167,201,1929,1474,370,1447,0.24,3.03,15809,24,172,214,11.9,1.67,1943,3483,3282,804,3617,4957,16077,7637,2814,3952,2747,1876
SaoPaulo91,SaoPaulo,South America,48.9,52.3,11.1,11.1,1856,30.7,22.6,22.6,32,106,167,854,188,315,1400,864,420,1661,0.37,3.34,16613,15,201,221,19.7,1.74,3550,3952,3014,1340,3818,2412,10919,7101,2546,7838,2345,1407
Seoul91,Seoul,East Asia,58.3,,27.6,32.7,1842,23.8,47.4,56,18,30,379,1018,516,342,,,,2251,0.59,,11187,19,82,154,6.1,5.23,14202,6565,9177,7101,15072,13599,17283,17283,13800,8508,7034,7302
Singapore91,Singapore,East Asia,64.4,77.1,17.1,16.1,2042,18.9,26.6,25,39,70,374,1125,161,442,2090,636,1310,1601,0.52,2.2,46557,21,157,154,24.9,2.55,7168,4555,4689,2479,5560,6029,22776,16613,6364,8039,3885,2814
Stockholm91,Stockholm,Northern Europe,111.3,105.6,69.1,39.2,1805,27.8,62,35.2,40,61,553,1944,543,824,1172,549,430,2780,2.66,12.5,17953,39,295,442,55,6.3,12661,10986,10517,12661,11254,11388,15474,11790,11254,12661,10182,10115
Sidney91,Sidney,South Asia and Australia,70.8,72.8,51.7,52.1,1668,22.4,73,73.6,12,18,277,1237,523,1072,1420,757,550,2492,2.06,4.2,12795,17,190,221,19.3,8.31,17484,12326,13934,13733,14335,18355,24518,15809,13532,15608,11388,11053
Taipei91,Taipei,East Asia,84.3,90.4,30.1,34.5,2145,17.7,35.7,41,16,34,414,1471,502,1038,1929,1420,740,2606,0.33,4.25,16010,50,208,328,8.5,5.56,11790,10651,10115,10584,11589,22843,26393,21369,12192,12661,11388,8574
Tel-Aviv91,Tel-Aviv,Middle East,67.3,64.9,23.7,27,2015,18.7,35.1,40.1,9,33,293,1175,261,569,630,382,390,3068,0.73,5.91,17149,22,105,234,9,4.35,8240,9579,10048,7034,10249,14469,20163,15273,12594,7972,7503,4957
Tokyo91,Tokyo,East Asia,115,141.4,63.9,68,1880,24,55.6,59.1,14,21,742,2008,797,1259,10160,3825,890,2653,1.32,8.67,17350,96,237,409,15.5,10.85,26393,28470,20900,22977,25991,23714,49035,29006,27733,18690,14268,12460
Toronto91,Toronto,North America,70.2,72.5,65.4,58.2,1888,12.2,93.2,83,10,20,350,1225,516,623,,583,640,1755,0.99,4.04,10249,25,179,261,29.2,9.31,24317,20498,21034,23245,23982,12661,39925,31150,13666,15407,9579,10517
Vienna91,Vienna,Central Europe,78,75.4,54.4,51.3,1780,26.8,69.8,65.8,12,30,352,1361,435,690,1306,536,290,1976,1.39,6.19,15139,33,220,308,25,8.24,15407,16412,15139,14068,19427,18690,36442,33427,20699,17283,10249,7503
Zurich91,Zurich,Central Europe,100,100,100,100,1868,24,100,100,9,20,517,1746,389,509,2546,1474,570,2418,1.88,14.4,14469,26,238,395,19.4,16.01,44882,36308,27867,20364,37312,33293,59620,51916,41868,31685,23513,18891
