"","num","eigenvalues","percentage","cumulative"
"1",1,4.491,37.43,37.43
"2",2,1.7148,14.29,51.72
"3",3,1.2989,10.82,62.54
"4",4,1.0396,8.66,71.2
"5",5,0.8699,7.25,78.45
"6",6,0.7831,6.53,84.98
"7",7,0.5309,4.42,89.4
"8",8,0.3874,3.23,92.63
"9",9,0.321,2.67,95.31
"10",10,0.2561,2.13,97.44
"11",11,0.2021,1.68,99.12
"12",12,0.1052,0.88,100
